Title,Genre,Director,Budget,Revenue,IMDB_Rating,Review
Movie 348,Comedy,Director B,18185542,48177101,8.8,Amazing movie with great visuals and acting.
Movie 349,Action,Director D,94700040,291173218,6,Amazing movie with great visuals and acting.
Movie 350,Horror,Director C,68245570,19933736,7.9,"Not worth the time, poor screenplay."
Movie 351,Action,Director B,68014198,25031726,7.7,Loved the characters and the storyline.
Movie 352,Romance,Director C,97575718,105810074,7,"Not worth the time, poor screenplay."
Movie 353,Action,Director C,38926630,86025367,6,Terrible plot and boring scenes.
Movie 354,Romance,Director B,69037227,86722372,7.5,Amazing movie with great visuals and acting.
Movie 355,Thriller,Director C,18047503,232021461,5.9,Loved the characters and the storyline.
Movie 356,Romance,Director A,41576035,256395693,9.3,Terrible plot and boring scenes.
Movie 357,Thriller,Director D,68635922,243737331,8.6,Loved the characters and the storyline.
Movie 358,Thriller,Director A,38837591,181792473,4.4,Amazing movie with great visuals and acting.
Movie 359,Comedy,Director C,97955466,223824276,8.2,Amazing movie with great visuals and acting.
Movie 360,Comedy,Director B,14332348,87240009,7.5,Terrible plot and boring scenes.
Movie 361,Action,Director A,19998592,264253337,7,Amazing movie with great visuals and acting.
Movie 362,Thriller,Director C,28396153,111153567,3.6,Terrible plot and boring scenes.
Movie 363,Thriller,Director C,74846415,182782223,6.7,"Not worth the time, poor screenplay."
Movie 364,Romance,Director B,67281398,4390263,8.6,Amazing movie with great visuals and acting.
Movie 365,Romance,Director D,94507138,194730898,6.7,A decent movie with good direction.
Movie 366,Comedy,Director D,98172308,72813452,9,Loved the characters and the storyline.
Movie 367,Horror,Director C,67658997,61838312,6.7,"Not worth the time, poor screenplay."
Movie 368,Drama,Director C,66300863,215854732,4.1,A decent movie with good direction.
Movie 369,Thriller,Director C,15284542,94088414,8.9,A decent movie with good direction.
Movie 370,Action,Director B,31065585,157403757,7.8,Loved the characters and the storyline.
Movie 371,Romance,Director B,11308051,88755019,8.4,"Not worth the time, poor screenplay."
Movie 372,Romance,Director A,76325622,161805227,4,Loved the characters and the storyline.
Movie 373,Thriller,Director B,79022022,95108852,8.6,A decent movie with good direction.
Movie 374,Thriller,Director B,30274391,236781096,7.9,Amazing movie with great visuals and acting.
Movie 375,Horror,Director C,8677230,188815795,7.7,A decent movie with good direction.
Movie 376,Action,Director A,12466589,264790505,4.7,A decent movie with good direction.
Movie 377,Romance,Director C,59703691,246944466,5.7,Amazing movie with great visuals and acting.
Movie 378,Action,Director D,42295125,150897203,9.5,A decent movie with good direction.
Movie 379,Action,Director A,25192433,57545380,3.7,Amazing movie with great visuals and acting.
Movie 380,Romance,Director D,51926279,83286380,7.9,Loved the characters and the storyline.
Movie 381,Action,Director A,20581161,98314732,4.9,"Not worth the time, poor screenplay."
Movie 382,Drama,Director C,88003447,190045472,9,Amazing movie with great visuals and acting.
Movie 383,Drama,Director C,54741458,9061093,4.4,A decent movie with good direction.
Movie 384,Thriller,Director B,56888483,145790569,5.5,Terrible plot and boring scenes.
Movie 385,Thriller,Director D,30312781,250145091,6,"Not worth the time, poor screenplay."
Movie 386,Romance,Director A,79997310,161766801,7.4,Terrible plot and boring scenes.
Movie 387,Romance,Director D,58371458,144669519,5,"Not worth the time, poor screenplay."
Movie 388,Romance,Director D,1912625,171931611,5.1,Terrible plot and boring scenes.
Movie 389,Horror,Director B,50427232,70653983,6.4,Terrible plot and boring scenes.
Movie 390,Thriller,Director D,32444696,66796626,7.2,Terrible plot and boring scenes.
Movie 391,Drama,Director A,94039702,153681579,5.2,A decent movie with good direction.
Movie 392,Drama,Director D,4517177,67445043,8.2,"Not worth the time, poor screenplay."
Movie 393,Action,Director B,39973130,198551444,8.3,Amazing movie with great visuals and acting.
Movie 394,Horror,Director A,44604546,58887504,8.6,A decent movie with good direction.
Movie 395,Horror,Director D,79286507,12061776,6.5,Loved the characters and the storyline.
Movie 396,Thriller,Director D,60300402,113709405,8.1,Amazing movie with great visuals and acting.
Movie 397,Action,Director D,6675569,107928446,8,A decent movie with good direction.
Movie 398,Horror,Director B,75552673,48925791,8.6,A decent movie with good direction.
Movie 399,Action,Director D,49050795,48653748,6.4,A decent movie with good direction.
Movie 400,Comedy,Director A,38596809,174296117,5.4,Terrible plot and boring scenes.
Movie 401,Action,Director D,21650836,280838383,8.1,"Not worth the time, poor screenplay."
Movie 402,Horror,Director C,88188874,156613432,7.7,Amazing movie with great visuals and acting.
Movie 403,Drama,Director D,82080550,11114710,7,"Not worth the time, poor screenplay."
Movie 404,Action,Director A,93221838,157581385,4.8,A decent movie with good direction.
Movie 405,Romance,Director C,31599202,255281641,8.5,Amazing movie with great visuals and acting.
Movie 406,Horror,Director A,71915689,271935747,4.9,A decent movie with good direction.
Movie 407,Romance,Director D,74850051,160119144,3.6,Terrible plot and boring scenes.
Movie 408,Action,Director C,86125032,201653675,8.5,A decent movie with good direction.
Movie 409,Horror,Director D,79388942,267235304,6.8,"Not worth the time, poor screenplay."
Movie 410,Horror,Director C,16694552,168596565,9,Amazing movie with great visuals and acting.
Movie 411,Romance,Director D,54699247,174097240,7.6,"Not worth the time, poor screenplay."
Movie 412,Comedy,Director D,28987361,21755387,4.2,"Not worth the time, poor screenplay."
Movie 413,Comedy,Director D,90468042,42486185,7,Amazing movie with great visuals and acting.
Movie 414,Horror,Director A,48945196,107953687,8.6,"Not worth the time, poor screenplay."
Movie 415,Horror,Director B,46807351,209447595,4.9,Loved the characters and the storyline.
Movie 416,Comedy,Director B,52840094,55477275,9.4,"Not worth the time, poor screenplay."
Movie 417,Horror,Director C,54164386,95784035,5,Loved the characters and the storyline.
Movie 418,Thriller,Director B,24277752,25255965,8.9,Amazing movie with great visuals and acting.
Movie 419,Drama,Director C,20458675,124504190,8.9,Amazing movie with great visuals and acting.
Movie 420,Thriller,Director D,18203180,156776476,6.3,A decent movie with good direction.
Movie 421,Comedy,Director A,21172236,201348354,5,Amazing movie with great visuals and acting.
Movie 422,Horror,Director A,9611172,136087677,6.2,Loved the characters and the storyline.
Movie 423,Comedy,Director B,89226724,197139317,5.9,Loved the characters and the storyline.
Movie 424,Comedy,Director B,51268135,262836900,7.2,Amazing movie with great visuals and acting.
Movie 425,Horror,Director C,32699471,35385495,9,A decent movie with good direction.
Movie 426,Horror,Director C,6501681,156562769,9.2,"Not worth the time, poor screenplay."
Movie 427,Romance,Director A,98103248,299812745,4.7,Amazing movie with great visuals and acting.
Movie 428,Comedy,Director B,68158662,251358442,8.2,Terrible plot and boring scenes.
Movie 429,Romance,Director D,46072971,194808147,4.8,Terrible plot and boring scenes.
Movie 430,Drama,Director D,45878262,36934383,4.5,Amazing movie with great visuals and acting.
Movie 431,Horror,Director A,11117586,74095393,9,Loved the characters and the storyline.
Movie 432,Comedy,Director B,27908813,268355075,7.9,Amazing movie with great visuals and acting.
Movie 433,Horror,Director D,67741995,64533301,8.1,"Not worth the time, poor screenplay."
Movie 434,Thriller,Director B,11410308,174517703,9.3,Terrible plot and boring scenes.
Movie 435,Drama,Director D,26920249,289213358,6,A decent movie with good direction.
Movie 436,Action,Director C,82803141,287735912,4.3,A decent movie with good direction.
Movie 437,Horror,Director D,45585403,84581937,4.9,"Not worth the time, poor screenplay."
Movie 438,Thriller,Director D,4154523,8774452,5.3,Amazing movie with great visuals and acting.
Movie 439,Romance,Director B,22336856,133845245,4.8,Terrible plot and boring scenes.
Movie 440,Horror,Director B,94401168,271303470,4.5,Amazing movie with great visuals and acting.
Movie 441,Action,Director C,77273197,179519563,7.6,Terrible plot and boring scenes.
Movie 442,Horror,Director A,19548312,49335582,8.5,A decent movie with good direction.
Movie 443,Action,Director D,76286079,165079728,5.1,A decent movie with good direction.
Movie 444,Thriller,Director A,22907327,226361858,5.4,Loved the characters and the storyline.
Movie 445,Comedy,Director D,64148805,232203254,9.4,A decent movie with good direction.
Movie 446,Thriller,Director C,6335620,63745093,8.3,A decent movie with good direction.
Movie 447,Action,Director C,67105688,27757698,5.3,Amazing movie with great visuals and acting.
Movie 448,Action,Director D,34730534,259426067,7.3,Loved the characters and the storyline.
Movie 449,Action,Director C,37873525,48084273,8.1,Terrible plot and boring scenes.
Movie 450,Drama,Director A,78398830,138696259,4.5,Amazing movie with great visuals and acting.
Movie 451,Drama,Director D,85727566,78599697,8.1,Terrible plot and boring scenes.
Movie 452,Comedy,Director B,90921963,275885753,9.3,Terrible plot and boring scenes.
Movie 453,Romance,Director C,13866822,201026450,6.7,"Not worth the time, poor screenplay."
Movie 454,Thriller,Director A,56678444,130544961,5.8,"Not worth the time, poor screenplay."
Movie 455,Romance,Director C,61513762,171518078,5.1,A decent movie with good direction.
Movie 456,Action,Director A,17702082,37290815,4,Terrible plot and boring scenes.
Movie 457,Action,Director B,20409916,22070978,7.7,"Not worth the time, poor screenplay."
Movie 458,Drama,Director B,25124468,239402808,9,Amazing movie with great visuals and acting.
Movie 459,Comedy,Director B,37253690,176226547,6.6,Amazing movie with great visuals and acting.
Movie 460,Comedy,Director D,54221356,145223498,8.7,Loved the characters and the storyline.
Movie 461,Drama,Director B,63553917,148847956,9.5,Amazing movie with great visuals and acting.
Movie 462,Thriller,Director B,84199284,290494659,6,Amazing movie with great visuals and acting.
Movie 463,Action,Director C,3969487,228221747,4.5,Loved the characters and the storyline.
Movie 464,Drama,Director C,10595394,155525845,5.4,A decent movie with good direction.
Movie 465,Romance,Director B,68731501,104285624,5,Terrible plot and boring scenes.
Movie 466,Horror,Director D,88798040,152387579,3.8,A decent movie with good direction.
Movie 467,Romance,Director A,37902034,221378796,5.5,Loved the characters and the storyline.
Movie 468,Comedy,Director A,34636493,266334396,7.9,Loved the characters and the storyline.
Movie 469,Action,Director C,93152607,105882900,4.4,Loved the characters and the storyline.
Movie 470,Drama,Director B,69977294,245633170,9.4,"Not worth the time, poor screenplay."
Movie 471,Romance,Director D,44009414,240694995,4.5,Loved the characters and the storyline.
Movie 472,Romance,Director A,99888848,269085996,5.9,Terrible plot and boring scenes.
Movie 473,Comedy,Director D,33806691,91853890,6.2,Terrible plot and boring scenes.
Movie 474,Action,Director D,41153003,90226207,9.2,A decent movie with good direction.
Movie 475,Romance,Director C,30543142,120713310,6.9,Terrible plot and boring scenes.
Movie 476,Horror,Director A,84529040,20352010,8.5,A decent movie with good direction.
Movie 477,Thriller,Director B,33167363,128023297,4.4,Amazing movie with great visuals and acting.
Movie 478,Romance,Director C,33101962,294007576,6.5,"Not worth the time, poor screenplay."
Movie 479,Drama,Director B,76996665,262746323,3.7,A decent movie with good direction.
Movie 480,Horror,Director C,97685681,68424918,6.4,"Not worth the time, poor screenplay."
Movie 481,Comedy,Director C,10306380,47887185,5.7,Amazing movie with great visuals and acting.
Movie 482,Comedy,Director A,55746766,259532425,6.1,A decent movie with good direction.
Movie 483,Comedy,Director C,22217093,7412073,9.3,"Not worth the time, poor screenplay."
Movie 484,Thriller,Director B,45296565,215947010,4.3,A decent movie with good direction.
Movie 485,Action,Director B,35944762,132679793,8.6,Terrible plot and boring scenes.
Movie 486,Thriller,Director A,56955309,54328417,4.3,Amazing movie with great visuals and acting.
Movie 487,Romance,Director C,7270873,73723447,7.8,Loved the characters and the storyline.
Movie 488,Comedy,Director B,30701094,134295877,4.9,Amazing movie with great visuals and acting.
Movie 489,Romance,Director D,24248044,268427988,6.4,Terrible plot and boring scenes.
Movie 490,Horror,Director C,26756436,57237307,5,Terrible plot and boring scenes.
Movie 491,Romance,Director C,41110443,262003842,9.3,A decent movie with good direction.
Movie 492,Action,Director D,15118279,12040360,4.9,Terrible plot and boring scenes.
Movie 493,Romance,Director A,45182426,31260930,9,A decent movie with good direction.
Movie 494,Action,Director C,20877899,167907861,6.5,Loved the characters and the storyline.
Movie 495,Drama,Director D,51753401,226052914,5.3,Terrible plot and boring scenes.
Movie 496,Romance,Director D,25849076,165873866,5.3,"Not worth the time, poor screenplay."
Movie 497,Action,Director A,89947820,106026905,8.1,Loved the characters and the storyline.
Movie 498,Horror,Director A,50724384,14631878,5.3,A decent movie with good direction.
Movie 499,Action,Director D,75597087,99660427,8.5,Terrible plot and boring scenes.
Movie 500,Comedy,Director C,68197038,247792626,6.9,Terrible plot and boring scenes.
Movie 501,Romance,Director B,23713875,266990117,8.9,"Not worth the time, poor screenplay."
Movie 502,Romance,Director D,67225554,284107597,4.7,Loved the characters and the storyline.
Movie 503,Action,Director A,80616445,139350901,8,Loved the characters and the storyline.
Movie 504,Comedy,Director B,14669046,129857805,8.4,A decent movie with good direction.
Movie 505,Action,Director A,40662796,209741606,5.2,Terrible plot and boring scenes.
Movie 506,Thriller,Director B,60466559,4399700,4,A decent movie with good direction.
Movie 507,Horror,Director D,46141102,21542079,8.5,"Not worth the time, poor screenplay."
Movie 508,Horror,Director C,96820813,95231212,6.5,A decent movie with good direction.
Movie 509,Romance,Director A,49551488,53753853,8.4,Terrible plot and boring scenes.
Movie 510,Drama,Director D,30268379,150854184,3.6,Amazing movie with great visuals and acting.
Movie 511,Action,Director B,3385825,28730756,9,Terrible plot and boring scenes.
Movie 512,Drama,Director D,12077047,296080076,7.3,Amazing movie with great visuals and acting.
Movie 513,Drama,Director A,49701103,57055520,5.3,A decent movie with good direction.
Movie 514,Horror,Director D,7730692,193090056,9.4,Loved the characters and the storyline.
Movie 515,Action,Director A,79796450,93420123,9,Loved the characters and the storyline.
Movie 516,Thriller,Director A,4141741,268949324,5.8,Terrible plot and boring scenes.
Movie 517,Thriller,Director C,69170006,41058175,8.6,A decent movie with good direction.
Movie 518,Action,Director D,47111261,216971822,3.9,Loved the characters and the storyline.
Movie 519,Comedy,Director A,46905951,231945886,7.9,Terrible plot and boring scenes.
Movie 520,Thriller,Director A,15298685,33471510,8.4,Loved the characters and the storyline.
Movie 521,Comedy,Director B,37525602,196264493,9,"Not worth the time, poor screenplay."
Movie 522,Drama,Director C,74656047,168499298,6.3,"Not worth the time, poor screenplay."
Movie 523,Romance,Director D,24037673,252390003,5.7,"Not worth the time, poor screenplay."
Movie 524,Action,Director B,5179704,155917600,5.8,Amazing movie with great visuals and acting.
Movie 525,Drama,Director D,82918141,224165792,8.4,Loved the characters and the storyline.
Movie 526,Horror,Director B,64679959,191258799,5.6,Loved the characters and the storyline.
Movie 527,Drama,Director C,68978917,17074750,8.6,Loved the characters and the storyline.
Movie 528,Drama,Director A,2861515,145848116,5.1,Loved the characters and the storyline.
Movie 529,Thriller,Director A,1355572,138060167,7.7,Terrible plot and boring scenes.
Movie 530,Romance,Director B,42992748,181833750,6.1,"Not worth the time, poor screenplay."
Movie 531,Horror,Director D,54434596,20304710,8.3,A decent movie with good direction.
Movie 532,Thriller,Director D,81191919,223718890,4.2,Loved the characters and the storyline.
Movie 533,Drama,Director C,32756067,27362662,6.6,Terrible plot and boring scenes.
Movie 534,Action,Director C,38301286,115512816,4.7,Terrible plot and boring scenes.
Movie 535,Action,Director B,97641518,269179440,5.8,A decent movie with good direction.
Movie 536,Romance,Director A,39563199,28423130,7.2,Amazing movie with great visuals and acting.
Movie 537,Drama,Director A,72571656,163298817,5.6,Amazing movie with great visuals and acting.
Movie 538,Romance,Director A,65095416,161058921,3.8,Loved the characters and the storyline.
Movie 539,Drama,Director C,47649665,102829047,7.3,A decent movie with good direction.
Movie 540,Romance,Director D,24427420,244966825,4.5,Terrible plot and boring scenes.
Movie 541,Drama,Director A,44343781,9173572,7.6,"Not worth the time, poor screenplay."
Movie 542,Horror,Director C,26668562,5851988,3.9,Loved the characters and the storyline.
Movie 543,Romance,Director D,13247221,292017153,3.8,A decent movie with good direction.
Movie 544,Romance,Director A,93213747,73288976,7.3,Terrible plot and boring scenes.
Movie 545,Comedy,Director A,92629482,76908328,8.4,Loved the characters and the storyline.
Movie 546,Romance,Director D,6739151,149176722,8,"Not worth the time, poor screenplay."
Movie 547,Romance,Director B,15849143,121655296,6.2,"Not worth the time, poor screenplay."
Movie 548,Drama,Director C,16083541,103588032,8.1,"Not worth the time, poor screenplay."
Movie 549,Comedy,Director B,57879266,140198179,3.7,A decent movie with good direction.
Movie 550,Action,Director A,75664067,58581942,7,Amazing movie with great visuals and acting.
Movie 551,Comedy,Director A,33880738,210064459,8.4,A decent movie with good direction.
Movie 552,Horror,Director C,1953104,48088502,5.1,A decent movie with good direction.
Movie 553,Horror,Director A,7345804,25494513,3.7,Amazing movie with great visuals and acting.
Movie 554,Action,Director D,76129460,159436772,4.7,Terrible plot and boring scenes.
Movie 555,Thriller,Director B,78509760,7536397,5.7,Terrible plot and boring scenes.
Movie 556,Horror,Director B,92180043,63970031,8.4,A decent movie with good direction.
Movie 557,Thriller,Director A,15966309,116419865,3.9,Loved the characters and the storyline.
Movie 558,Action,Director B,53744005,147618337,4.7,Loved the characters and the storyline.
Movie 559,Comedy,Director B,5170195,144842377,4.2,Amazing movie with great visuals and acting.
Movie 560,Comedy,Director C,47820534,252525172,4.5,A decent movie with good direction.
Movie 561,Drama,Director A,18459984,14736357,4.6,Loved the characters and the storyline.
Movie 562,Horror,Director C,82226949,98219800,4,"Not worth the time, poor screenplay."
Movie 563,Comedy,Director A,76696347,7114210,8,"Not worth the time, poor screenplay."
Movie 564,Action,Director A,52314495,110609586,8.4,Terrible plot and boring scenes.
Movie 565,Romance,Director C,13406634,247961746,6.7,Loved the characters and the storyline.
Movie 566,Thriller,Director A,61908238,46933017,4.6,"Not worth the time, poor screenplay."
Movie 567,Comedy,Director C,97644533,264428464,6.9,Loved the characters and the storyline.
Movie 568,Horror,Director B,9033363,165473851,6.9,Loved the characters and the storyline.
Movie 569,Comedy,Director B,35512773,18749864,9,Amazing movie with great visuals and acting.
Movie 570,Comedy,Director C,40138453,229156239,4,Amazing movie with great visuals and acting.
Movie 571,Thriller,Director A,81993173,192211385,6.4,A decent movie with good direction.
Movie 572,Romance,Director C,6787060,72810401,6.5,"Not worth the time, poor screenplay."
Movie 573,Thriller,Director A,48487231,204673074,9.1,Terrible plot and boring scenes.
Movie 574,Drama,Director A,13851671,144156214,4,Amazing movie with great visuals and acting.
Movie 575,Action,Director D,56426722,198194836,8.9,Loved the characters and the storyline.
Movie 576,Comedy,Director D,28908565,5363353,6.8,Terrible plot and boring scenes.
Movie 577,Action,Director A,31055146,108474381,6.2,Amazing movie with great visuals and acting.
Movie 578,Romance,Director B,28597185,17174913,7.2,A decent movie with good direction.
Movie 579,Action,Director D,67611065,283422253,6.2,A decent movie with good direction.
Movie 580,Action,Director C,94366159,104129570,5.5,"Not worth the time, poor screenplay."
Movie 581,Thriller,Director B,36615592,203360857,9.3,Loved the characters and the storyline.
Movie 582,Romance,Director D,20062096,49295760,7.8,Loved the characters and the storyline.
Movie 583,Drama,Director C,52931469,162256401,8.4,"Not worth the time, poor screenplay."
Movie 584,Horror,Director A,32600428,23750290,8.5,A decent movie with good direction.
Movie 585,Action,Director D,97095984,179509640,7.7,"Not worth the time, poor screenplay."
Movie 586,Romance,Director C,29694567,4756512,5.8,Amazing movie with great visuals and acting.
Movie 587,Horror,Director D,53216898,235661960,8.9,"Not worth the time, poor screenplay."
Movie 588,Romance,Director C,11478699,124687873,6,Loved the characters and the storyline.
Movie 589,Comedy,Director D,18815529,24753815,4.6,Loved the characters and the storyline.
Movie 590,Thriller,Director A,47684663,35163071,9,Amazing movie with great visuals and acting.
Movie 591,Action,Director A,81780666,65519169,4,Terrible plot and boring scenes.
Movie 592,Thriller,Director B,74639395,204230132,3.7,Amazing movie with great visuals and acting.
Movie 593,Comedy,Director C,34681778,33075616,5,Amazing movie with great visuals and acting.
Movie 594,Action,Director B,26147334,155903305,7.3,"Not worth the time, poor screenplay."
Movie 595,Action,Director C,81787388,263413252,8.2,Loved the characters and the storyline.
Movie 596,Horror,Director B,44779436,153282676,5,Loved the characters and the storyline.
Movie 597,Horror,Director A,84410115,182192157,8.4,Amazing movie with great visuals and acting.
Movie 598,Drama,Director D,8070152,93582352,7.7,A decent movie with good direction.
Movie 599,Horror,Director A,45734439,158131551,5.9,Amazing movie with great visuals and acting.
Movie 600,Thriller,Director B,60843726,32717000,7.6,"Not worth the time, poor screenplay."
Movie 601,Horror,Director C,84201043,178145337,6.8,"Not worth the time, poor screenplay."
Movie 602,Drama,Director B,21031131,225283385,4.1,Terrible plot and boring scenes.
Movie 603,Drama,Director C,48604582,37960539,5.8,A decent movie with good direction.
Movie 604,Action,Director B,87691430,109694729,9.4,Loved the characters and the storyline.
Movie 605,Romance,Director C,25550924,206945403,5.6,Amazing movie with great visuals and acting.
Movie 606,Thriller,Director C,74566740,169807464,6.7,Terrible plot and boring scenes.
Movie 607,Horror,Director D,72564160,206863579,6.7,Terrible plot and boring scenes.
Movie 608,Comedy,Director C,33346821,73763865,6.2,Loved the characters and the storyline.
Movie 609,Comedy,Director B,22520324,111886558,6.5,Loved the characters and the storyline.
Movie 610,Horror,Director B,26069597,49448222,5.5,A decent movie with good direction.
Movie 611,Comedy,Director A,26631170,263053144,7.7,Terrible plot and boring scenes.
Movie 612,Thriller,Director B,1410460,194551632,9,Terrible plot and boring scenes.
Movie 613,Thriller,Director A,59565553,10735439,7.7,Amazing movie with great visuals and acting.
Movie 614,Drama,Director A,43932221,29070042,5.6,Amazing movie with great visuals and acting.
Movie 615,Action,Director B,96843134,131722030,8.7,Amazing movie with great visuals and acting.
Movie 616,Drama,Director C,86181640,83462113,5.3,Terrible plot and boring scenes.
Movie 617,Thriller,Director D,83362896,128575481,3.9,A decent movie with good direction.
Movie 618,Drama,Director C,26919058,17035298,4.8,"Not worth the time, poor screenplay."
Movie 619,Drama,Director A,3703376,244834522,3.9,Amazing movie with great visuals and acting.
Movie 620,Horror,Director C,86027434,52410592,9.2,Terrible plot and boring scenes.
Movie 621,Romance,Director D,48543353,28929935,6,Terrible plot and boring scenes.
Movie 622,Horror,Director C,99596092,130337902,8.2,Terrible plot and boring scenes.
Movie 623,Thriller,Director C,79251440,78903488,5.5,Terrible plot and boring scenes.
Movie 624,Comedy,Director A,73847649,299136349,4,A decent movie with good direction.
Movie 625,Comedy,Director A,43421724,289074074,7,Loved the characters and the storyline.
Movie 626,Action,Director A,34085258,242262527,5,"Not worth the time, poor screenplay."
Movie 627,Thriller,Director D,63106255,243978924,5.7,A decent movie with good direction.
Movie 628,Comedy,Director A,3163906,177056903,6.9,"Not worth the time, poor screenplay."
Movie 629,Action,Director A,25469969,93108480,5.2,"Not worth the time, poor screenplay."
Movie 630,Horror,Director D,42217841,53240172,6.2,"Not worth the time, poor screenplay."
Movie 631,Romance,Director B,66731862,55228133,8.9,Loved the characters and the storyline.
Movie 632,Comedy,Director B,38431219,134576229,5.7,A decent movie with good direction.
Movie 633,Horror,Director C,88213061,246523029,7.2,Terrible plot and boring scenes.
Movie 634,Drama,Director B,50498308,293042936,6.5,Amazing movie with great visuals and acting.
Movie 635,Drama,Director B,79748313,144622530,6.4,A decent movie with good direction.
Movie 636,Romance,Director D,13057901,95112800,8.7,"Not worth the time, poor screenplay."
Movie 637,Horror,Director A,58296770,142616448,9,Loved the characters and the storyline.
Movie 638,Romance,Director B,12675995,127408181,7.9,Terrible plot and boring scenes.
Movie 639,Action,Director D,41374243,260528021,5,"Not worth the time, poor screenplay."
Movie 640,Romance,Director D,82289818,207831369,4.4,Terrible plot and boring scenes.
Movie 641,Thriller,Director C,96203461,76671306,8.5,Terrible plot and boring scenes.
Movie 642,Horror,Director B,88955674,294215015,6.8,Terrible plot and boring scenes.
Movie 643,Comedy,Director B,81049374,204167340,5.7,Terrible plot and boring scenes.
Movie 644,Comedy,Director A,85012225,27962022,3.6,"Not worth the time, poor screenplay."
Movie 645,Drama,Director C,79331591,147766324,7.6,A decent movie with good direction.
Movie 646,Romance,Director A,84014278,196408890,6.4,"Not worth the time, poor screenplay."
Movie 647,Horror,Director C,99941488,94709861,6.9,"Not worth the time, poor screenplay."
Movie 648,Comedy,Director D,97868825,249497760,6.6,"Not worth the time, poor screenplay."
Movie 649,Romance,Director D,29697681,291569581,5,Terrible plot and boring scenes.
Movie 650,Thriller,Director D,83714361,21081230,9.2,"Not worth the time, poor screenplay."
Movie 651,Thriller,Director A,58350529,139571919,4,Amazing movie with great visuals and acting.
Movie 652,Horror,Director A,41381573,297701919,7,"Not worth the time, poor screenplay."
Movie 653,Action,Director B,86617048,256502363,4,Terrible plot and boring scenes.
Movie 654,Horror,Director C,62327233,110091754,6.5,Loved the characters and the storyline.
Movie 655,Horror,Director C,58437000,103195158,8.6,Loved the characters and the storyline.
Movie 656,Action,Director D,8191126,248123558,7.5,Amazing movie with great visuals and acting.
Movie 657,Comedy,Director D,22812172,37436575,5,A decent movie with good direction.
Movie 658,Action,Director B,7691305,4115831,9.4,A decent movie with good direction.
Movie 659,Drama,Director D,66228216,73593840,8.7,A decent movie with good direction.
Movie 660,Drama,Director A,98892624,25982998,3.6,Terrible plot and boring scenes.
Movie 661,Drama,Director A,94639080,75930409,4.8,A decent movie with good direction.
Movie 662,Horror,Director C,75836046,46219800,7.8,A decent movie with good direction.
Movie 663,Action,Director D,12541195,157319165,6.9,Terrible plot and boring scenes.
Movie 664,Drama,Director C,40471397,32771190,7.6,Amazing movie with great visuals and acting.
Movie 665,Action,Director D,30250198,193362966,5.3,"Not worth the time, poor screenplay."
Movie 666,Comedy,Director B,51363784,100028461,5.8,A decent movie with good direction.
Movie 667,Romance,Director C,86289005,265586204,5.4,A decent movie with good direction.
Movie 668,Horror,Director D,13661012,153530676,3.7,Loved the characters and the storyline.
Movie 669,Thriller,Director C,22807454,242152999,5.7,Terrible plot and boring scenes.
Movie 670,Action,Director A,81061763,20516229,4.7,Amazing movie with great visuals and acting.
Movie 671,Comedy,Director D,60665763,228183684,3.6,"Not worth the time, poor screenplay."
Movie 672,Thriller,Director B,77372593,72368831,7.9,Loved the characters and the storyline.
Movie 673,Drama,Director A,30217578,4194678,3.8,Amazing movie with great visuals and acting.
Movie 674,Horror,Director B,5270795,107827683,4.9,Loved the characters and the storyline.
Movie 675,Comedy,Director A,69049123,265742727,6.3,"Not worth the time, poor screenplay."
Movie 676,Action,Director C,81985599,222903473,6,A decent movie with good direction.
Movie 677,Drama,Director B,54141204,130780796,6.9,A decent movie with good direction.
Movie 678,Romance,Director B,9569540,226079116,5,Loved the characters and the storyline.
Movie 679,Thriller,Director B,63937884,246424246,6.5,A decent movie with good direction.
Movie 680,Drama,Director D,9127851,114141500,8.2,A decent movie with good direction.
Movie 681,Comedy,Director C,40093422,34820893,9.3,Terrible plot and boring scenes.
Movie 682,Comedy,Director D,46028472,203439511,7.3,A decent movie with good direction.
Movie 683,Horror,Director C,16762786,23221577,5.2,A decent movie with good direction.
Movie 684,Comedy,Director A,95789286,53006049,7.1,Terrible plot and boring scenes.
Movie 685,Action,Director D,5056120,72382964,6.5,Amazing movie with great visuals and acting.
Movie 686,Action,Director C,54289376,34196636,7.3,Loved the characters and the storyline.
Movie 687,Comedy,Director A,77126699,233321606,7.2,Amazing movie with great visuals and acting.
Movie 688,Romance,Director D,45103443,50937771,4.7,"Not worth the time, poor screenplay."
Movie 689,Comedy,Director C,3549184,160096624,5,"Not worth the time, poor screenplay."
Movie 690,Horror,Director D,17141497,269013496,9,Terrible plot and boring scenes.
Movie 691,Thriller,Director D,41068377,64234798,4.9,A decent movie with good direction.
Movie 692,Romance,Director B,75354665,48013581,5.9,A decent movie with good direction.
Movie 693,Comedy,Director A,21023051,281778205,8.7,"Not worth the time, poor screenplay."
Movie 694,Romance,Director A,54312192,204289986,8.5,Loved the characters and the storyline.
Movie 695,Horror,Director D,82498546,269997330,8.1,Amazing movie with great visuals and acting.
Movie 696,Thriller,Director D,34180173,250672580,5.2,Loved the characters and the storyline.
Movie 697,Romance,Director C,83052811,215045684,7.1,Amazing movie with great visuals and acting.
Movie 698,Horror,Director C,47599123,215018960,6.6,Terrible plot and boring scenes.
